ZIP,COUNTYNAME,STATE,Helper1,Helper2,ZIP2,STCOUNTYFP,CLASSFP,,State,STCode,State Acres,Natl. Parks,Park Coverage (acres),%NPARK,,,,,,,,,,
19951,Sussex County,DE,DE|Sussex County,DE|Sussex,19951,10005,H1,,,,,,,,,,,,,,,,,
19956,Sussex County,DE,DE|Sussex County,DE|Sussex,19956,10005,H1,,,,,,,,,,,,,,,,,
19958,Sussex County,DE,DE|Sussex County,DE|Sussex,19958,10005,H1,,,,,,,,,,,,,,,,,
19960,Sussex County,DE,DE|Sussex County,DE|Sussex,19960,10005,H1,,,,,,,,,,,,,,,,,
19966,Sussex County,DE,DE|Sussex County,DE|Sussex,19966,10005,H1,,,,,,,,,,,,,,,,,
19967,Sussex County,DE,DE|Sussex County,DE|Sussex,19967,10005,H1,,,,,,,,,,,,,,,,,
19968,Sussex County,DE,DE|Sussex County,DE|Sussex,19968,10005,H1,,,,,,,,,,,,,,,,,
19969,Sussex County,DE,DE|Sussex County,DE|Sussex,19969,10005,H1,,,,,,,,,,,,,,,,,
19970,Sussex County,DE,DE|Sussex County,DE|Sussex,19970,10005,H1,,,,,,,,,,,,,,,,,
19971,Sussex County,DE,DE|Sussex County,DE|Sussex,19971,10005,H1,,,,,,,,,,,,,,,,,
19973,Sussex County,DE,DE|Sussex County,DE|Sussex,19973,10005,H1,,,,,,,,,,,,,,,,,
19975,Sussex County,DE,DE|Sussex County,DE|Sussex,19975,10005,H1,,,,,,,,,,,,,,,,,
20001,District of Columbia,DC,DC|District of Columbia,DC|District of,20001,11001,H6,,,,,,,,,,,,,,,,,
20002,District of Columbia,DC,DC|District of Columbia,DC|District of,20002,11001,H6,,,,,,,,,,,,,,,,,
20003,District of Columbia,DC,DC|District of Columbia,DC|District of,20003,11001,H6,,,,,,,,,,,,,,,,,
20004,District of Columbia,DC,DC|District of Columbia,DC|District of,20004,11001,H6,,,,,,,,,,,,,,,,,
20005,District of Columbia,DC,DC|District of Columbia,DC|District of,20005,11001,H6,,,,,,,,,,,,,,,,,
20006,District of Columbia,DC,DC|District of Columbia,DC|District of,20006,11001,H6,,,,,,,,,,,,,,,,,
20007,District of Columbia,DC,DC|District of Columbia,DC|District of,20007,11001,H6,,,,,,,,,,,,,,,,,
20008,District of Columbia,DC,DC|District of Columbia,DC|District of,20008,11001,H6,,,,,,,,,,,,,,,,,
